Tactic,Technique,Processed_Technique,mitigation
Credential Access,Input Capture,input capture,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Credential Access,Modify Authentication Process,modify authentication process,"Ensure that proper policies are implemented to dictate the the secure enrollment and deactivation of authentication mechanisms, such as MFA, for user accounts. "
Credential Access,Multi-Factor Authentication Interception,multifactor authentication interception,Remove smart cards when not in use.
Credential Access,Multi-Factor Authentication Request Generation,multifactor authentication request generation,"Enable account restrictions to prevent login attempts, and the subsequent 2FA/MFA service requests, from being initiated from suspicious locations or when the source of the login attempts do not match the location of the 2FA/MFA smart device. Use conditional access policies to block logins from non-compliant devices or from outside defined organization IP ranges. "
Credential Access,Network Sniffing,network sniffing,"Use multi-factor authentication wherever possible. Use best practices for authentication protocols, such as Kerberos, and ensure web traffic that may contain credentials is protected by SSL/TLS."
Credential Access,OS Credential Dumping,o credential dumping,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network. "
Credential Access,Steal Application Access Token,steal application access token,"Users need to be trained to not authorize third-party applications they don?t recognize. The user should pay particular attention to the redirect URL: if the URL is a misspelled or convoluted sequence of words related to an expected service or SaaS application, the website is likely trying to spoof a legitimate service. Users should also be cautious about the permissions they are granting to apps."
Credential Access,Steal or Forge Kerberos Tickets,steal forge kerberos ticket,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.  Ensure strong password length (ideally 25+ characters) and complexity for service accounts and that these passwords periodically expire."
Credential Access,Steal Web Session Cookie,steal web session cookie,"Configure browsers or tasks to regularly delete persistent cookies.
Additionally, minimize the length of time a web cookie is viable to potentially reduce the impact of stolen cookies while also increasing the needed frequency of cookie theft attempts. Regularly update web browsers, password managers, and all related software to the latest versions. Keeping software up-to-date reduces the risk of vulnerabilities being exploited by attackers to extract stored credentials or session cookies."
Credential Access,Unsecured Credentials,unsecured credential,"Remove vulnerable Group Policy Preferences. Preemptively search for files containing passwords or other credentials and take actions to reduce the exposure risk when found.  Limit network access to sensitive services, such as the Instance Metadata API. If it is necessary that software must store credentials in the Registry, then ensure the associated accounts have limited permissions so they cannot be abused if obtained by an adversary. Restrict file shares to specific directories with access only to necessary users."
Discovery,Account Discovery,account discovery,"Manage the creation, modification, use, and permissions associated to user accounts. "
Discovery,Application Window Discovery,application window discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,Browser Bookmark Discovery,browser bookmark discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,Cloud Infrastructure Discovery,cloud infrastructure discovery,"Limit permissions to discover cloud infrastructure in accordance with least privilege. Organizations should limit the number of users within the organization with an IAM role that has administrative privileges, strive to reduce all permanent privileged role assignments, and conduct periodic entitlement reviews on IAM users, roles and policies."
Discovery,Cloud Service Dashboard,cloud service dashboard,Enforce the principle of least-privilege by limiting dashboard visibility to only the resources required. This may limit the discovery value of the dashboard in the event of a compromised account.
Discovery,Cloud Service Discovery,cloud service discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,Cloud Storage Object Discovery,cloud storage object discovery,Restrict granting of permissions related to listing objects in cloud storage to necessary accounts.
Discovery,Container and Resource Discovery,container resource discovery,"Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls. Limit communications with the container service to managed and secured channels, such as local Unix sockets or remote access via SSH. Require secure port access to communicate with the APIs over TLS by disabling unauthenticated access to the Docker API and Kubernetes API Server. Enforce the principle of least privilege by limiting dashboard visibility to only the required users."
Discovery,Debugger Evasion,debugger evasion,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,Domain Trust Discovery,domain trust discovery,Map the trusts within existing domains/forests and keep trust relationships to a minimum. Employ network segmentation for sensitive domains.
Discovery,File and Directory Discovery,file directory discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,Group Policy Discovery,group policy discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,Network Service Discovery,network service discovery,Ensure that unnecessary ports and services are closed to prevent risk of discovery and potential exploitation. Use network intrusion detection/prevention systems to detect and prevent remote service scans. Ensure proper network segmentation is followed to protect critical servers and devices.
Discovery,Network Share Discovery,network share discovery,"Enable Windows Group Policy ""Do Not Allow Anonymous Enumeration of SAM Accounts and Shares"" security setting to limit users who can enumerate network shares."
Discovery,Network Sniffing,network sniffing,"Ensure that all wired and/or wireless traffic is encrypted appropriately. Use best practices for authentication protocols, such as Kerberos, and ensure web traffic that may contain credentials is protected by SSL/TLS. Use multi-factor authentication wherever possible. In cloud environments, ensure that users are not granted permissions to create or modify traffic mirrors unless this is explicitly required."
Discovery,Password Policy Discovery,password policy discovery,Ensure only valid password filters are registered.
Discovery,Peripheral Device Discovery,peripheral device discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,Permission Groups Discovery,permission group discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,Process Discovery,process discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,Query Registry,query registry,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,Remote System Discovery,remote system discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,Software Discovery,software discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,System Information Discovery,system information discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,System Location Discovery,system location discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,System Network Configuration Discovery,system network configuration discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,System Network Connections Discovery,system network connection discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,System Owner/User Discovery,system owneruser discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,System Service Discovery,system service discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,System Time Discovery,system time discovery,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Discovery,Virtualization/Sandbox Evasion,virtualizationsandbox evasion,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Lateral Movement,Exploitation of Remote Services,exploitation remote service,Minimize available services to only those that are necessary. Minimize permissions and access for service accounts to limit impact of exploitation. Update software regularly by employing patch management for internal enterprise endpoints and servers. 
Lateral Movement,Internal Spearphishing,internal spearphishing,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Lateral Movement,Lateral Tool Transfer,lateral tool transfer,"Consider using the host firewall to restrict file sharing communications such as SMB. Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. "
Lateral Movement,Remote Service Session Hijacking,remote service session hijacking,"Disable the remote service (ex: SSH, RDP, etc.) if it is unnecessary. Enable firewall rules to block unnecessary traffic between network security zones within a network. Set and enforce secure password policies for accounts. Do not allow remote access to services as a privileged account unless necessary. Limit remote user permissions if remote access is necessary."
Lateral Movement,Remote Services,remote service,"If remote services, such as the ability to make direct connections to cloud virtual machines, are not required, disable these connection types where feasible. Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc. Use multi-factor authentication on remote service logons where possible. Do not reuse local administrator account passwords across systems. Ensure password complexity and uniqueness such that the passwords cannot be cracked or guessed."
Lateral Movement,Replication Through Removable Media,replication removable medium,"On Windows 10, enable Attack Surface Reduction (ASR) rules to block unsigned/untrusted executable files (such as .exe, .dll, or .scr) from running from USB removable drives. Limit the use of USB devices and removable media within a network. "
Lateral Movement,Software Deployment Tools,software deployment tool,Patch deployment systems regularly to prevent potential remote access through Exploitation for Privilege Escalation.  Verify that account credentials that may be used to access deployment systems are unique and not used throughout the enterprise network. Grant access to application deployment systems only to a limited number of authorized administrators. Ensure proper system and access isolation for critical network systems through use of multi-factor authentication.
Lateral Movement,Taint Shared Content,taint shared content,"Anti-virus can be used to automatically quarantine suspicious files. Protect shared folders by minimizing users who have write access. Use utilities that detect or mitigate common features used in exploitation, such as the Microsoft Enhanced Mitigation Experience Toolkit (EMET)."
Lateral Movement,Use Alternate Authentication Material,use alternate authentication material,"Where possible, consider restricting the use of authentication material outside of expected contexts.  Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc. Set and enforce secure password policies for accounts. Enforce the principle of least-privilege. Do not allow a domain user to be in the local administrator group on multiple systems."
Collection,Adversary-in-the-Middle,adversaryinthemiddle,"Disable legacy network protocols that may be used to intercept network traffic if applicable, especially those that are not needed within an environment.  Network intrusion detection and prevention systems that can identify traffic patterns indicative of AiTM activity can be used to mitigate activity at the network level.  	
Use network appliances and host-based security software to block network traffic that is not necessary within the environment, such as legacy protocols that may be leveraged for AiTM conditions."
Collection,Archive Collected Data,archive collected data,System scans can be performed to identify unauthorized archival utilities.
Collection,Audio Capture,audio capture,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Collection,Automated Collection,automated collection,"Encryption and off-system storage of sensitive information may be one way to mitigate collection of files, but may not stop an adversary from acquiring the information if an intrusion persists over a long period of time and the adversary is able to discover and access the data through other means. Strong passwords should be used on certain encrypted documents that use them to prevent offline cracking through Brute Force techniques."
Collection,Browser Session Hijacking,browser session hijacking,"Since browser pivoting requires a high integrity process to launch from, restricting user permissions and addressing Privilege Escalation and Bypass User Account Control opportunities can limit the exposure to this technique."
Collection,Clipboard Data,clipboard data,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Collection,Data from Cloud Storage Object,data cloud storage object,Use access control lists on storage systems and objects. Consider using multi-factor authentication to restrict access to resources and cloud storage APIs.
Collection,Data from Configuration Repository,data configuration repository,Apply extended ACLs to block unauthorized protocols outside the trusted network. Keep system images and software updated and migrate to SNMPv3.
Collection,Data from Information Repositories,data information repository,Consider implementing data retention policies to automate periodically archiving and/or deleting data that is no longer needed. Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator. Encrypt data stored at rest in databases.
Collection,Data from Local System,data local system,Data loss prevention can restrict access to sensitive data and detect sensitive data that is unencrypted.
Collection,Data from Network Shared Drive,data network shared drive,"This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
"
Collection,Data from Removable Media,data removable medium,Data loss prevention can restrict access to sensitive data and detect sensitive data that is unencrypted.
Collection,Data Staged,data staged,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Collection,Email Collection,email collection,Use of multi-factor authentication for public-facing webmail servers is a recommended best practice to minimize the usefulness of usernames and passwords to adversaries. Use of encryption provides an added layer of security to sensitive information sent over email. Encryption using public key cryptography requires the adversary to obtain the private certificate along with an encryption key to decrypt messages.
Collection,Input Capture,input capture,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Collection,Screen Capture,screen capture,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Collection,Video Capture,video capture,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features. 
Command and Control,Application Layer Protocol,application layer protocol,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic. Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.
Command and Control,Communication Through Removable Media,communication removable medium,Disable Autoruns if it is unnecessary.  Disallow or restrict removable media at an organizational policy level if they are not required for business operations.
Command and Control,Data Encoding,data encoding,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools."
Command and Control,Data Obfuscation,data obfuscation,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate some obfuscation activity at the network level.
Command and Control,Dynamic Resolution,dynamic resolution,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Malware researchers can reverse engineer malware variants that use dynamic resolution and determine future C2 infrastructure that the malware will attempt to contact, but this is a time and resource intensive effort."
Command and Control,Encrypted Channel,encrypted channel,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. SSL/TLS inspection can be used to see the contents of encrypted sessions to look for network-based indicators of malware communication protocols.
Command and Control,Fallback Channels,fallback channel,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools."
Command and Control,Ingress Tool Transfer,ingres tool transfer,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools."
Command and Control,Multi-Stage Channels,multistage channel,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.
Command and Control,Non-Application Layer Protocol,nonapplication layer protocol,Filter network traffic to prevent use of protocols across the network boundary that are unnecessary. Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.
Command and Control,Non-Standard Port,nonstandard port,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Properly configure firewalls and proxies to limit outgoing traffic to only necessary ports for that particular network segment.
Command and Control,Protocol Tunneling,protocol tunneling,Consider filtering network traffic to untrusted or known bad domains and resources. Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.
Command and Control,Proxy,proxy,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.  If it is possible to inspect HTTPS traffic, the captures can be analyzed for connections that appear to be domain fronting."
Command and Control,Remote Access Software,remote access software,"Consider disabling unnecessary remote connection functionality, including both unapproved software installations and specific features built into supported applications. Use application control to mitigate installation and use of unapproved software that can be used for remote access. Properly configure firewalls, application firewalls, and proxies to limit outgoing traffic to sites and services used by remote access software. Network intrusion detection and prevention systems that use network signatures may be able to prevent traffic to remote access services."
Command and Control,Traffic Signaling,traffic signaling,"Disable Wake-on-LAN if it is not needed within an environment.  Mitigation of some variants of this technique could be achieved through the use of stateful firewalls, depending upon how it is implemented."
Command and Control,Web Service,web service,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Web proxies can be used to enforce external network communication policy that prevents use of unauthorized external services.
Exfiltration,Automated Exfiltration,automated exfiltration,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Exfiltration,Data Transfer Size Limits,data transfer size limit,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level.
Exfiltration,Exfiltration Over Alternative Protocol,exfiltration alternative protocol,Data loss prevention can detect and block sensitive data being uploaded via web browsers. Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level.
Exfiltration,Exfiltration Over C2 Channel,exfiltration c channel,Data loss prevention can detect and block sensitive data being sent over unencrypted protocols. Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.
Exfiltration,Exfiltration Over Other Network Medium,exfiltration network medium,"Disable WiFi connection, modem, cellular data connection, Bluetooth, or another radio frequency (RF) channel in local computer security settings or by group policy if it is not needed within an environment. Prevent the creation of new network adapters where possible."
Exfiltration,Exfiltration Over Physical Medium,exfiltration physical medium,Data loss prevention can detect and block sensitive data being copied to physical mediums. Disable Autorun if it is unnecessary.  Limit the use of USB devices and removable media within a network.
Exfiltration,Exfiltration Over Web Service,exfiltration web service,Data loss prevention can be detect and block sensitive data being uploaded to web services via web browsers. Web proxies can be used to enforce an external network communication policy that prevents use of unauthorized external services.
Exfiltration,Scheduled Transfer,scheduled transfer,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool command and control signatures over time or construct protocols in such a way to avoid detection by common defensive tools. "
Exfiltration,Transfer Data to Cloud Account,transfer data cloud account,"Data loss prevention can prevent and block sensitive data from being shared with individuals outside an organization. Configure appropriate data sharing restrictions in cloud services. For example, external sharing in Microsoft SharePoint and Google Drive can be turned off altogether, blocked for certain domains, or restricted to certain users."
Impact,Account Access Removal,account access removal,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
Impact,Data Destruction,data destruction,"Implement multi-factor authentication (MFA) delete for cloud storage resources, such as AWS S3 buckets, to prevent unauthorized deletion of critical data and infrastructure. MFA delete requires additional authentication steps, making it significantly more difficult for adversaries to destroy data without proper credentials. This additional security layer helps protect against the impact of data destruction in cloud environments by ensuring that only authenticated actions can irreversibly delete storage or machine images."
Impact,Data Encrypted for Impact,data encrypted impact,"On Windows 10, enable cloud-delivered protection and Attack Surface Reduction (ASR) rules to block the execution of files that resemble ransomware. Consider implementing IT disaster recovery plans that contain procedures for regularly taking and testing data backups that can be used to restore organizational data."
Impact,Data Manipulation,data manipulation,Consider encrypting important information to reduce an adversary?s ability to perform tailored data modifications. Ensure least privilege principles are applied to important information resources to reduce exposure to data manipulation risk.
Impact,Defacement,defacement,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.[1] Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.
Impact,Disk Wipe,disk wipe,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.[3] Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.
Impact,Endpoint Denial of Service,endpoint denial service,"Leverage services provided by Content Delivery Networks (CDN) or providers specializing in DoS mitigations to filter traffic upstream from services.[10] Filter boundary traffic by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport. To defend against SYN floods, enable SYN Cookies.
"
Impact,Firmware Corruption,firmware corruption,Check the integrity of the existing BIOS and device firmware to determine if it is vulnerable to modification. Prevent adversary access to privileged accounts or access necessary to replace system firmware. Patch the BIOS and other firmware as necessary to prevent successful use of known vulnerabilities.
Impact,Inhibit System Recovery,inhibit system recovery,Consider technical controls to prevent the disabling of services or deletion of files involved in system recovery. 
Impact,Network Denial of Service,network denial service,"As immediate response may require rapid engagement of 3rd parties, analyze the risk associated to critical resources being affected by Network DoS attacks and create a disaster recovery plan/business continuity plan to respond to incidents."
Impact,Resource Hijacking,resource hijacking,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.  
Impact,Service Stop,service stop,"Operate intrusion detection, analysis, and response systems on a separate network from the production environment to lessen the chances that an adversary can see and interfere with critical response functions. Develop and enforce security policies that include the use of out-of-band communication channels for critical communications during a security incident. "
Impact,System Shutdown/Reboot,system shutdownreboot,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
